City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saint-joseph,-21.3667,55.6167,20.26,77,0,1.57,RE,1689910277
84,bu'aale,1.0833,42.5833,24.1,84,81,3.33,SO,1689910277
85,saipan,15.1355,145.701,31.39,100,40,7.72,MP,1689910277
86,kill devil hills,36.0307,-75.676,27.21,81,0,2.06,US,1689910277
87,klyuchi,52.2667,79.1667,28.58,35,26,4.66,RU,1689910278
88,la ronge,55.1001,-105.2842,19.14,63,75,0.51,CA,1689910278
89,laguna,38.421,-121.4238,35.22,33,0,3.09,US,1689910278
90,kete krachi,7.7939,-0.0498,23.9,91,82,3.87,GH,1689910278
91,whitehorse,60.7161,-135.0538,24.43,38,75,2.06,CA,1689909682
92,ilulissat,69.2167,-51.1,7.01,93,20,2.57,GL,1689910278
93,khorixas,-20.3667,14.9667,12.52,40,0,2.04,NA,1689910278
94,iskateley,67.6803,53.1512,15.05,86,100,5.76,RU,1689910279
95,gulf breeze,30.3571,-87.1639,29.75,83,0,3.6,US,1689910161
96,college,64.8569,-147.8028,23.37,68,40,2.57,US,1689910279
97,tantou,26.0314,119.5986,31.87,74,96,5.0,CN,1689910279
98,jiuquan,39.7432,98.5174,30.16,18,71,6.12,CN,1689910280
99,isabela,6.7085,121.9711,31.03,78,88,0.22,PH,1689910280
100,quepos,9.4236,-84.1652,27.3,82,96,0.76,CR,1689910280
101,happy valley-goose bay,53.3168,-60.3315,17.17,72,20,1.03,CA,1689910094
102,mpulungu,-8.7623,31.1141,19.89,58,0,4.55,ZM,1689910280
103,bossangoa,6.4926,17.4552,20.75,96,100,1.53,CF,1689910281
104,axim,4.8699,-2.2405,24.23,91,96,2.73,GH,1689910281
105,mount isa,-20.7333,139.5,26.87,26,3,5.66,AU,1689910281
106,papatowai,-46.5619,169.4708,7.66,62,0,8.79,NZ,1689910281
107,robore,-18.3333,-59.75,20.31,59,0,1.1,BO,1689910281
108,alice springs,-23.7,133.8833,17.75,39,0,6.69,AU,1689910281
109,camana,-16.6228,-72.7111,17.2,80,52,1.78,PE,1689910282
110,mahibadhoo,3.7833,72.9667,27.93,78,100,4.78,MV,1689910282
111,thompson,55.7435,-97.8558,19.09,68,40,0.0,CA,1689910282
112,urengoy,65.9667,78.3667,25.74,41,74,5.18,RU,1689910282
113,georgetown,5.4112,100.3354,30.97,67,20,3.6,MY,1689910001
114,afaahiti,-17.75,-149.2833,23.93,63,22,7.97,PF,1689910282
115,puerto ayacucho,5.6639,-67.6236,24.3,92,100,1.18,VE,1689910282
116,kuta,-8.7233,115.1723,27.97,69,20,6.71,ID,1689910283
117,ayutla de los libres,16.9,-99.2167,26.32,81,56,1.37,MX,1689910283
118,vilyuchinsk,52.9306,158.4028,15.15,91,100,1.88,RU,1689910283
119,belmonte,-15.8631,-38.8828,21.76,89,64,3.48,BR,1689910283
120,hermanus,-34.4187,19.2345,7.11,74,6,5.09,ZA,1689910283
121,ola,59.5833,151.2833,26.75,80,40,4.62,RU,1689910283
122,ugoofaaru,5.6667,73.0,27.96,78,100,7.33,MV,1689910284
123,akureyri,65.6835,-18.0878,6.96,93,0,0.0,IS,1689910284
124,massawa,15.6097,39.45,34.43,48,100,2.93,ER,1689910284
125,utrik,11.2278,169.8474,28.41,80,44,9.04,MH,1689910284
126,uturoa,-16.7333,-151.4333,24.39,64,22,8.8,PF,1689910284
127,hobyo,5.3505,48.5268,25.42,82,89,10.87,SO,1689910005
128,rosarito,32.3333,-117.0333,27.04,73,8,2.81,MX,1689910284
129,gunjur,13.2019,-16.7339,26.04,94,40,0.0,GM,1689910284
130,bethel,41.3712,-73.414,23.17,80,0,0.0,US,1689910285
131,anadyr,64.75,177.4833,14.28,94,100,2.0,RU,1689910285
132,aasiaat,68.7098,-52.8699,3.33,98,86,4.25,GL,1689910285
133,mendi,-6.1761,143.6513,18.06,81,78,2.3,PG,1689910285
134,al jawf,29.5,38.75,26.75,22,0,4.83,SA,1689910285
135,hamilton,39.1834,-84.5333,26.47,75,75,3.09,US,1689910279
136,balapur,20.6667,76.7667,26.85,84,100,6.82,IN,1689910286
137,antsiranana,-12.2787,49.2917,22.42,94,75,5.14,MG,1689910286
138,talnakh,69.4865,88.3972,18.45,95,100,3.34,RU,1689910286
139,new norfolk,-42.7826,147.0587,12.18,53,31,3.04,AU,1689910286
140,port alfred,-33.5906,26.891,13.07,59,88,11.69,ZA,1689910286
141,ancud,-41.8697,-73.8203,10.6,85,97,7.66,CL,1689910287
142,san antonio de pale,-1.4014,5.6325,23.25,72,97,4.13,GQ,1689910287
143,la passe,45.5549,-0.8967,18.32,82,1,3.82,FR,1689910287
144,al mijlad,11.0333,27.7333,25.74,70,43,3.68,SD,1689910288
145,ar ruways,24.1103,52.7306,34.07,58,100,2.72,AE,1689910288
146,moroto,2.5345,34.6666,20.01,70,70,0.99,UG,1689910289
147,chonchi,-42.6128,-73.8092,10.62,84,67,4.0,CL,1689910289
148,aripuana,-9.1667,-60.6333,21.91,53,3,0.69,BR,1689910289
149,vinogradovo,56.9333,37.55,12.68,70,31,3.36,RU,1689910289
150,sitka,57.0531,-135.33,18.94,55,75,0.0,US,1689910289
151,shirgaon,19.7,72.7,27.62,83,100,5.6,IN,1689910289
152,degtyarsk,56.704,60.0879,17.18,62,58,5.0,RU,1689910289
153,yelizovo,53.1873,158.3805,15.08,100,75,1.0,RU,1689910290
154,santo angelo,-28.2992,-54.2631,16.5,89,7,4.22,BR,1689910290
155,macusani,-14.0833,-70.4333,0.1,61,0,0.71,PE,1689910290
156,louiseville,46.2559,-72.9415,23.95,69,26,5.14,CA,1689910290
157,chala,-7.5833,31.2667,11.27,67,0,2.3,TZ,1689910290
158,kumylzhenskaya,49.8809,42.5898,17.21,79,100,1.96,RU,1689910290
159,smithers,54.7804,-127.1743,24.18,46,75,8.23,CA,1689910291
160,beylikova,39.6869,31.2056,22.13,50,3,1.23,TR,1689910291
161,bredasdorp,-34.5322,20.0403,5.63,86,0,2.62,ZA,1689910291
162,raja,8.4596,25.678,20.17,91,78,2.13,SS,1689910291
163,punta arenas,-53.15,-70.9167,-1.39,95,100,7.06,CL,1689910223
164,bichura,50.5881,107.6022,22.99,36,85,2.57,RU,1689910291
165,bilibino,68.0546,166.4372,23.8,44,2,2.22,RU,1689910292
166,volchansk,59.9378,60.081,18.37,68,16,3.55,RU,1689910292
